Municipio,Codigo ,Total
Governador Newton Bello,  2 104 651 ,   10 713
Governador Nunes Freire,  2 104 677 ,   23 128
Graça Aranha,  2 104 701 ,   6 023
Grajaú,  2 104 800 ,   73 872
Guimarães,  2 104 909 ,   10 290
Humberto de Campos,  2 105 005 ,   25 680
Icatu,  2 105 104 ,   24 794
Igarapé do Meio,  2 105 153 ,   13 974
Igarapé Grande,  2 105 203 ,   10 231
Imperatriz,  2 105 302 ,   273 110
Itaipava do Grajaú,  2 105 351 ,   13 828
Itapecuru Mirim,  2 105 401 ,   60 440
Itinga do Maranhão,  2 105 427 ,   22 513
Jatobá,  2 105 450 ,   7 471
Jenipapo dos Vieiras,  2 105 476 ,   17 076
João Lisboa,  2 105 500 ,   24 709
Joselândia,  2 105 609 ,   14 924
Junco do Maranhão,  2 105 658 ,   5 146
Lago da Pedra,  2 105 708 ,   44 403
Lago do Junco,  2 105 807 ,   9 506
Lago Verde,  2 105 906 ,   14 769
Lagoa do Mato,  2 105 922 ,   10 572
Lago dos Rodrigues,  2 105 948 ,   8 758
Lagoa Grande do Maranhão,  2 105 963 ,   11 411
Lajeado Novo,  2 105 989 ,   7 057
Lima Campos,  2 106 003 ,   11 297
Loreto,  2 106 102 ,   11 597
Luís Domingues,  2 106 201 ,   7 161
Magalhães de Almeida,  2 106 300 ,   13 807
Maracaçumé,  2 106 326 ,   21 149
Marajá do Sena,  2 106 359 ,   7 027
Maranhãozinho,  2 106 375 ,   13 761
Mata Roma,  2 106 409 ,   17 090
Matinha,  2 106 508 ,   22 034
Matões,  2 106 607 ,   32 174
Matões do Norte,  2 106 631 ,   17 432
Milagres do Maranhão,  2 106 672 ,   8 818
Mirador,  2 106 706 ,   21 030
Miranda do Norte,  2 106 755 ,   23 864
Mirinzal,  2 106 805 ,   13 978
Monção,  2 106 904 ,   27 751
Montes Altos,  2 107 001 ,   9 106
Morros,  2 107 100 ,   18 554
Nina Rodrigues,  2 107 209 ,   14 176
Nova Colinas,  2 107 258 ,   5 021
Nova Iorque,  2 107 308 ,   4 320
Nova Olinda do Maranhão,  2 107 357 ,   14 314
Olho d'Água das Cunhãs,  2 107 407 ,   17 919
Olinda Nova do Maranhão,  2 107 456 ,   13 577
Paço do Lumiar,  2 107 506 ,   145 643
Palmeirândia,  2 107 605 ,   21 059
Paraibano,  2 107 704 ,   18 274
Parnarama,  2 107 803 ,   31 250
Passagem Franca,  2 107 902 ,   17 220
Pastos Bons,  2 108 009 ,   18 802
Paulino Neves,  2 108 058 ,   17 056
Paulo Ramos,  2 108 108 ,   20 341
Pedreiras,  2 108 207 ,   37 050
Pedro do Rosário,  2 108 256 ,   24 320
Penalva,  2 108 306 ,   32 511
Peri Mirim,  2 108 405 ,   11 108
Peritoró,  2 108 454 ,   20 479
Pindaré-Mirim,  2 108 504 ,   31 429
Pinheiro,  2 108 603 ,   84 621
Pio XII,  2 108 702 ,   21 886
Pirapemas,  2 108 801 ,   17 714
Poção de Pedras,  2 108 900 ,   17 161
Porto Franco,  2 109 007 ,   23 903
Porto Rico do Maranhão,  2 109 056 ,   5 954
Presidente Dutra,  2 109 106 ,   45 155
Presidente Juscelino,  2 109 205 ,   11 356
Presidente Médici,  2 109 239 ,   4 696
Presidente Sarney,  2 109 270 ,   17 511
Presidente Vargas,  2 109 304 ,   10 549
Primeira Cruz,  2 109 403 ,   13 614
Raposa,  2 109 452 ,   30 839
Riachão,  2 109 502 ,   22 145
Ribamar Fiquene,  2 109 551 ,   7 420
Rosário,  2 109 601 ,   38 475
Sambaíba,  2 109 700 ,   5 568
Santa Filomena do Maranhão,  2 109 759 ,   6 697
Santa Helena,  2 109 809 ,   41 561
Santa Inês,  2 109 908 ,   85 014
Santa Luzia,  2 110 005 ,   57 635
Santa Luzia do Paruá,  2 110 039 ,   24 307
Santa Quitéria do Maranhão,  2 110 104 ,   23 957
Santa Rita,  2 110 203 ,   37 035
Santana do Maranhão,  2 110 237 ,   10 567
Santo Amaro do Maranhão,  2 110 278 ,   13 949
Santo Antônio dos Lopes,  2 110 302 ,   14 304
São Benedito do Rio Preto,  2 110 401 ,   18 364
São Bento,  2 110 500 ,   46 395
São Bernardo,  2 110 609 ,   26 943
São Domingos do Azeitão,  2 110 658 ,   7 992
São Domingos do Maranhão,  2 110 708 ,   34 034
São Félix de Balsas,  2 110 807 ,   4 402
São Francisco do Brejão,  2 110 856 ,   9 051
